useless one line header 
0.0     	-0.54774	0.0     	0.96593 	0.25882 	2.1     	1.03463 
1.0     	-0.49248	0.0     	0.99191 	-0.12696	2.09794 	0.5461  
2.0     	-0.43722	0.0     	0.87012 	-0.49283	2.11182 	0.41971 
3.0     	-0.38196	0.0     	0.62954 	-0.77697	2.1794  	1.05648 
4.0     	-0.3267 	0.0     	0.33345 	-0.94277	2.31897 	0.10136 
5.0     	-0.27144	0.0     	0.0455  	-0.99896	2.51925 	0.62668 
6.0     	-0.21619	0.0     	-0.20053	-0.97969	2.75402 	0.95159 
7.0     	-0.16093	0.0     	-0.3982 	-0.9173 	2.99732 	0.47224 
8.0     	-0.10567	0.0     	-0.55344	-0.83289	3.22941 	0.66896 
9.0     	-0.05041	0.0     	-0.67482	-0.73798	3.43694 	0.69481 
10.0    	0.00485 	0.0     	-0.76985	-0.63822	3.61129 	0.4189  
11.0    	0.06011 	0.0     	-0.8442 	-0.53603	3.74708 	0.64259 
12.0    	0.11537 	0.0     	-0.90182	-0.43211	3.84103 	0.83941 
13.0    	0.17063 	0.0     	-0.94528	-0.32627	3.89125 	0.78057 
14.0    	0.22589 	0.0     	-0.976  	-0.21775	3.89685 	0.50873 
15.0    	0.28115 	0.0     	-0.99442	-0.10549	3.85773 	0.39189 
16.0    	0.33641 	0.0     	-0.99993	0.01183 	3.77459 	0.62823 
17.0    	0.39167 	0.0     	-0.99076	0.13565 	3.64901 	0.67533 
18.0    	0.44693 	0.0     	-0.96359	0.26739 	3.48389 	0.54648 
19.0    	0.50219 	0.0     	-0.91297	0.40803 	3.284   	0.12792 
20.0    	0.55745 	0.0     	-0.83046	0.55708 	3.05701 	0.31878 
21.0    	0.61271 	0.0     	-0.70384	0.71036 	2.81494 	0.79543 
22.0    	0.66796 	0.0     	-0.51768	0.85557 	2.57581 	0.5472  
23.0    	0.72322 	0.0     	-0.25885	0.96592 	2.36427 	0.75985 
24.0    	0.77848 	0.0     	0.0682  	0.99767 	2.20755 	0.3285  
25.0    	0.83374 	0.0     	0.4225  	0.90636 	2.12242 	0.58893 
26.0    	0.889   	0.0     	0.73287 	0.68037 	2.09841 	0.81407 
27.0    	0.94426 	0.0     	0.93625 	0.35133 	2.09975 	1.13372 
28.0    	0.99952 	0.0     	0.99955 	-0.02993	2.09836 	0.7337  
29.0    	1.05478 	0.0     	0.91354 	-0.40675	2.10469 	0.85833 
30.0    	1.11004 	0.0     	0.69772 	-0.71637	2.15592 	0.90468 
31.0    	1.1653  	0.0     	0.40879 	-0.91263	2.27754 	0.82574 
32.0    	1.22056 	0.0     	0.1143  	-0.99345	2.46485 	0.6689  
33.0    	1.27582 	0.0     	-0.14363	-0.98963	2.69361 	1.43214 
34.0    	1.33108 	0.0     	-0.35309	-0.93559	2.93689 	1.46038 
35.0    	1.38634 	0.0     	-0.51814	-0.8553 	3.17327 	0.71271 
36.0    	1.4416  	0.0     	-0.64721	-0.76231	3.3879  	0.52127 
37.0    	1.49686 	0.0     	-0.74822	-0.66345	3.57115 	0.53214 
38.0    	1.55211 	0.0     	-0.82731	-0.56175	3.71696 	0.79351 
39.0    	1.60737 	0.0     	-0.88882	-0.45825	3.82159 	0.76539 
40.0    	1.66263 	0.0     	-0.93564	-0.35294	3.88286 	1.0164  
41.0    	1.71789 	0.0     	-0.96948	-0.24518	3.89965 	0.51765 
42.0    	1.77315 	0.0     	-0.99098	-0.13397	3.87168 	0.25114 
43.0    	1.82841 	0.0     	-0.99984	-0.01805	3.79943 	0.3408  
44.0    	1.88367 	0.0     	-0.99458	0.104   	3.68425 	1.0393  
45.0    	1.93893 	0.0     	-0.97232	0.23364 	3.52866 	0.7052  
46.0    	1.99419 	0.0     	-0.92822	0.37202 	3.33688 	0.02703 
47.0    	2.04945 	0.0     	-0.85468	0.51916 	3.11573 	1.1333  
48.0    	2.10471 	0.0     	-0.74044	0.67212 	2.876   	0.8612  
49.0    	2.15997 	0.0     	-0.57066	0.82118 	2.63407 	0.54121 
50.0    	2.21523 	0.0     	-0.33063	0.94376 	2.41304 	0.27349 
51.0    	2.27049 	0.0     	-0.01844	0.99983 	2.24032 	1.18691 
